SKU ID,2023 PTUs,PTU/HR,PTU/shift,# of people on Line,Base  Direct Labor Rate ($/hr),QA Tech,Line Lead,Production FLO,Warehouse FLO,"Supervisors, Trainers, Donor Coordinator, Donor Receivers, FG Leads, Baler MO",Cleaning,Total Flex Cost,Total Unit Cost (Direct + Flex)
428928383,28206,195,1560,7,16.85,0.140457943,0.243788996,0.098538855,0.105535537,0.194258186,0.136186671,0.918766188,1.81
428963772,0,166.6666667,1333.333333,10,16.85,0.164335794,0.285233125,0.11529046,0.123476579,0.227282077,0.159338406,1.07495644,2.56
428963815,0,159.3333333,1274.666667,10,16.85,0.171899366,0.298361009,0.120596716,0.129159601,0.237742759,0.166671972,1.124431423,2.68
428963858,0,91.2,729.6,11,16.85,0.30032126,0.521259366,0.21069163,0.225651643,0.415354673,0.291188607,1.964467179,4.95
428974522,0,187.4666667,1499.733333,10,16.85,0.146102235,0.253585637,0.102498631,0.109776475,0.202064436,0.141659322,0.955686736,2.28
428978650,0,260,2080,10,16.85,0.105343457,0.182841747,0.073904141,0.079151653,0.145693639,0.102140004,0.689074641,1.64
429001526,0,240,1920,5,16.85,0.114122079,0.198078559,0.08006282,0.085747624,0.157834776,0.110651671,0.746497528,1.26
429008664,0,252,2016,8,16.85,0.108687694,0.188646247,0.076250304,0.081664404,0.150318834,0.105382543,0.710950027,1.5
429008750,0,225.0666667,1800.533333,8,16.85,0.12169416,0.211221212,0.085375045,0.09143704,0.168307226,0.117993488,0.79602817,1.68
429008922,0,254.5,2036,8,16.85,0.107620035,0.18679314,0.075501284,0.0808622,0.148842225,0.104347351,0.703966235,1.48
429029777,0,193.7333333,1549.866667,11,16.85,0.141376285,0.245382936,0.099183121,0.10622555,0.195528284,0.137077087,0.924773263,2.33
429059705,18738,120.625,965,11,16.85,0.227061546,0.39410449,0.159295973,0.170606672,0.314033958,0.220156692,1.48525933,3.74
429149403,0,115.0666667,920.5333333,11,16.85,0.238029828,0.413141838,0.166990817,0.178847884,0.329203472,0.230791433,1.557005273,3.93
429149489,0,182.5333333,1460.266667,11,16.85,0.150050944,0.260439303,0.105268864,0.112743407,0.207525637,0.145487953,0.981516107,2.47
429151596,0,210,1680,10,16.85,0.130425233,0.226375496,0.091500365,0.097997285,0.180382601,0.126459052,0.853140032,2.03
429152284,0,140.6666667,1125.333333,11,16.85,0.194710656,0.337953939,0.136600071,0.146299264,0.269291561,0.18878958,1.273645072,3.21
429156928,0,157.4666667,1259.733333,11,16.85,0.173937123,0.301897888,0.122026313,0.130690706,0.240561047,0.168647762,1.137760839,2.87
429157358,0,150,1200,11,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,3.01
429179460,0,132,1056,10,16.85,0.207494689,0.360142834,0.145568763,0.155904771,0.28697232,0.201184856,1.357268233,3.23
429179503,0,150,1200,11,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,3.01
429179933,0,187.4666667,1499.733333,10,16.85,0.146102235,0.253585637,0.102498631,0.109776475,0.202064436,0.141659322,0.955686736,2.28
429180019,0,193.7333333,1549.866667,11,16.85,0.141376285,0.245382936,0.099183121,0.10622555,0.195528284,0.137077087,0.924773263,2.33
429182900,0,150,1200,11,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,3.01
429190898,0,91.2,729.6,10,16.85,0.30032126,0.521259366,0.21069163,0.225651643,0.415354673,0.291188607,1.964467179,4.68
429260945,0,300,2400,7,16.85,0.091297663,0.158462847,0.064050256,0.068598099,0.126267821,0.088521336,0.597198022,1.18
429299000,0,4.125,33,8,16.85,6.639830043,11.5245707,15.5273347,4.988952681,9.183114235,6.43791538,54.30171774,102.35
429352707,0,159.3333333,1274.666667,11,16.85,0.171899366,0.298361009,0.120596716,0.129159601,0.237742759,0.166671972,1.124431423,2.83
429360662,0,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429363328,0,225,1800,11,16.85,0.121730217,0.211283796,0.085400341,0.091464132,0.168357094,0.118028449,0.79626403,2.01
429365650,0,225,1800,11,16.85,0.121730217,0.211283796,0.085400341,0.091464132,0.168357094,0.118028449,0.79626403,2.01
429365779,0,98,784,10,16.85,0.279482642,0.485090348,0.196072211,0.209994182,0.386534145,0.270983683,1.828157212,4.36
429385258,0,225,1800,11,16.85,0.121730217,0.211283796,0.085400341,0.091464132,0.168357094,0.118028449,0.79626403,2.01
429385688,0,150,1200,9,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.68
429393858,0,157.4666667,1259.733333,11,16.85,0.173937123,0.301897888,0.122026313,0.130690706,0.240561047,0.168647762,1.137760839,2.87
429406973,0,150,1200,9,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.68
429407145,0,6.533333333,52.26666667,10,16.85,4.192239632,7.276355225,9.803610559,3.149912726,5.798012176,4.064755246,34.28488556,72.2
429439051,0,179.0666667,1432.533333,10,16.85,0.152955876,0.265481315,0.107306832,0.114926079,0.211543259,0.148304547,1.000517908,2.38
429439266,0,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429442018,0,225,1800,11,16.85,0.121730217,0.211283796,0.085400341,0.091464132,0.168357094,0.118028449,0.79626403,2.01
429474956,0,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429474999,0,150,1200,9,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.68
429495123,0,201.3333333,1610.666667,10,16.85,0.136039564,0.236120136,0.095439123,0.102215711,0.188147415,0.131902654,0.889864603,2.12
429648805,0,117.5,940,11,16.85,0.233100416,0.404585993,0.163532568,0.175144083,0.322385925,0.226011923,1.524760908,3.84
429812205,0,97.5,780,13,16.85,0.195987828,0.487577991,0.19707771,0.211071075,0.439036791,0,1.530751394,4.83
429290228,0,275,2200,15,16.85,0.069486593,0.172868561,0.069873006,0.07483429,0.155658499,0,0.542720949,1.89
429312459,0,50,400,20,16.85,0.382176264,0.950777083,0.384301534,0.411588596,0.856121742,0,2.984965219,12.89
429350987,0,30,240,13,16.85,0.63696044,1.584628471,0.640502557,0.685980994,1.42686957,0,4.974942032,15.71
429453456,0,90,720,12,16.85,0.212320147,0.52820949,0.213500852,0.228660331,0.47562319,0,1.658314011,4.96
429463045,0,95,760,19,16.85,0.201145402,0.500408991,0.202263965,0.216625577,0.450590391,0,1.571034326,6.53
429487125,0,106.25,850,13,16.85,0.179847654,0.44742451,0.180847781,0.193688751,0.40288082,0,1.404689515,4.44
429492371,0,250,2000,16,16.85,0.076435253,0.190155417,0.076860307,0.082317719,0.171224348,0,0.596993044,2.18
429501401,0,93,744,19,16.85,0.20547111,0.511170475,0.206613728,0.221284191,0.460280506,0,1.60482001,6.67
429510732,300,33.75,270,13,16.85,0.566187058,1.408558641,0.569335606,0.609760883,1.268328507,0,4.422170695,13.96
429522127,0,85,680,13,16.85,0.224809567,0.559280637,0.226059726,0.242110939,0.503601025,0,1.755861894,5.54
429544057,0,34.375,275,20,16.85,0.555892748,1.382948484,0.558984049,0.598674322,1.245267988,0,4.341767591,18.76
429544659,0,39.375,315,18,16.85,0.485303193,1.207335978,0.488001948,0.522652186,1.08713872,0,3.790432024,15.12
429632981,0,39.375,315,18,16.85,0.485303193,1.207335978,0.488001948,0.522652186,1.08713872,0,3.790432024,15.12
429747404,0,250,2000,16,16.85,0.076435253,0.190155417,0.076860307,0.082317719,0.171224348,0,0.596993044,2.18
429811818,0,97.5,780,13,16.85,0.195987828,0.487577991,0.19707771,0.211071075,0.439036791,0,1.530751394,4.83
429812291,0,97.5,780,13,16.85,0.195987828,0.487577991,0.19707771,0.211071075,0.439036791,0,1.530751394,4.83
429522084,0,11.25,90,14,16.85,1.698561174,4.225675924,5.693356058,1.82928265,3.367141886,0,16.81401769,47.64
429197692,0,31.25,250,19,16.85,0.611482023,1.521243332,2.049608181,0.658541754,1.212171079,0,6.053046369,21.12
429443093,0,7.5,60,21,16.85,2.547841761,6.338513885,8.540034087,2.743923974,5.050712829,0,25.22102654,94.59
429692708,0,11.5,92,21,16.85,1.661635931,4.133813403,5.569587448,1.789515635,3.29394315,0,16.44849557,61.69
M4642600264,0,92,736,7.5,16.85,0.207704491,0.516726675,0.208859529,0.223689454,0.435177944,0,1.592158095,3.61
430011854,0,180,1440,10,16.85,0.152162772,0.264104745,0.106750426,0.114330166,0.210446368,0.147535561,0.995330037,2.37
429442835,0,31.5,252,13,16.85,0.606628991,1.509169973,0.610002435,0.653315232,1.3589234,0,4.73804003,14.96
430002738,0,21.875,175,14,16.85,0.873545747,2.173204761,2.928011687,0.940773934,1.73167297,0,8.647209098,24.5
430002867,0,13.75,110,14,16.85,1.389731869,3.45737121,4.658200411,1.496685804,2.754934271,0,13.75692357,38.98
430006436,0,16.25,130,14,16.85,1.175926966,2.925467947,3.941554194,1.26642645,2.331098229,0,11.64047379,32.98
430039159,0,39.375,315,14,16.85,0.695601243,1.207335978,0.488001948,0.522652186,0.962040539,0.674448278,4.550080171,13.36
430011510,75276,193.75,1550,7,16.85,0.141364123,0.245361828,0.099174589,0.106216412,0.195511464,0.137065295,0.924693712,1.82
429994439,0,112.5,900,10,16.85,0.243460435,0.422567592,0.170800682,0.182928265,0.336714189,0.236056897,1.59252806,3.79
429994482,0,150,1200,11,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,3.01
429945978,52076,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429441975,0,70,560,13,16.85,0.272983046,0.679126488,0.274501096,0.293991854,0.61151553,0,2.132118014,6.73
425812904,0,150,1200,11,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,3.01
428823205,0,4.9,39.2,10,16.85,5.589652842,9.701806967,13.07148075,4.199883634,7.730682902,5.419673662,45.71318075,96.27
429554377,0,70,560,13,16.85,0.272983046,0.679126488,0.274501096,0.293991854,0.61151553,0,2.132118014,6.73
429564310,0,29,232,13,16.85,0.658924593,1.639270832,0.662588852,0.709635511,1.476071969,0,5.146491757,16.25
429994611,101762,180,1440,11,16.85,0.152162772,0.264104745,0.106750426,0.114330166,0.210446368,0.147535561,0.995330037,2.51
